"fips","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
37153,1063258,1084024,1036461,1144649,1190052,1290081,1289994,1275382,1325903,1501030,1586550,1731119,1686199,1690971,1923693,1963265,1992640,2106889,2092790
37155,2896708,2529973,2679597,2902933,2978408,3282396,3347704,3304155,3443521,3327705,3147725,3072739,3181673,3232204,3422997,3588631,3785584,3851453,4024095
37157,2463285,2465505,2468713,2663898,2841515,3110705,2995147,2984656,3149915,3173302,3362513,3515440,3318303,3095888,3146379,3185207,3040219,3112565,3149814
37159,3278265,3477450,3416660,3586719,3786639,4114105,4071332,4071565,3991459,4096829,4233359,4464940,4406930,4542380,4845943,5024501,5188286,5466062,5761670
37161,1413482,1462146,1456011,1481851,1494386,1566581,1534989,1524007,1432879,1504866,1578437,1566751,1610674,1657720,1675923,1711115,1763016,1858295,1983692
37163,1521509,1386233,1497528,1679298,1671636,1739118,1808304,1723159,1703200,1900983,1926423,1948002,2092823,2112923,2040986,1953668,2030555,1980012,2025979
37165,979193,962329,924430,1007234,1052736,1124517,1068649,1083186,1080782,1104128,1009087,958596,1095692,1289117,1511697,1295578,1195427,1242942,1303016
37167,1190187,1211557,1218185,1309567,1404806,1456852,1447156,1424827,1406698,1461202,1515142,1576360,1636267,1632611,1689973,1772595,1826087,1898939,2006573
37169,906235,960222,771721,979390,943443,1100615,1130380,1220257,1330564,1400020,1503324,1393459,1251401,1339460,1291899,1199194,1183749,1134557,1172206
37171,1920899,1959946,1919436,2008684,2031194,2154077,2104615,2072587,2042103,2089741,2117465,2129178,2158752,2261970,2357385,2396163,2499978,2620876,2708938
37173,295742,318716,344912,362681,385215,408832,430233,419697,479733,479023,476260,467099,515510,523597,563193,582730,627286,651907,698431
37175,758523,823125,742491,705827,728763,739035,743388,774433,729849,735070,708173,725222,745094,823858,887412,1021545,1298026,1321851,1368338
37177,78879,74124,64272,73353,71085,78780,80125,72960,72383,76673,93441,108382,127583,115969,100924,115118,128859,116629,131695
37179,3581357,3482266,3608379,3915757,4320881,4970735,5226632,5074521,4768816,4871103,5031486,5365677,5500622,5779698,6021154,6333423,6779869,7202735,7450769
37181,1115255,1123299,1101743,1124396,1093900,1152762,1198286,1228814,1212172,1205559,1177648,1172105,1182915,1246606,1267157,1334390,1335861,1301955,1353241
