"fips","region","division","netmig2010","netmig2011","netmig2012","netmig2013","netmig2014","netmig2015","netmig2016","netmig2017","netmig2018","netmig2019"
"05085","South","West South Central",230,417,243,332,253,-316,144,763,448,-254
"05087","South","West South Central",-23,-10,-106,41,11,-14,358,168,25,147
"05089","South","West South Central",16,86,23,-59,77,-90,247,157,359,168
"05091","South","West South Central",17,14,-257,-367,-114,160,-150,-48,-415,-151
"05093","South","West South Central",-145,-495,-666,-977,-647,-700,-989,-869,-938,-671
"05095","South","West South Central",-39,-42,-226,-139,-41,-155,-220,-133,-118,-133
"05097","South","West South Central",-2,-72,4,-63,-61,-74,-35,18,71,137
"05099","South","West South Central",-23,16,-80,-149,-85,-138,-122,-38,-2,-54
"05101","South","West South Central",10,-49,-182,22,-158,17,14,-21,-2,-22
"05103","South","West South Central",-2,-281,-302,-364,-143,-394,-237,-96,-111,-147
"05105","South","West South Central",18,-75,-31,30,38,-42,-4,80,38,97
"05107","South","West South Central",-114,-312,-687,-336,-542,-461,-534,-511,-555,-285
"05109","South","West South Central",2,-38,27,-79,-78,-116,-8,-86,-28,82
"05111","South","West South Central",-17,-39,-139,-48,-43,-90,-17,124,-152,-352
"05113","South","West South Central",7,-59,-141,-24,-74,-4,-17,30,-74,18
"05115","South","West South Central",244,330,-221,-132,287,232,29,-445,-208,307
"05117","South","West South Central",-13,-101,-98,-100,-11,-27,-6,12,-145,17
"05119","South","West South Central",247,1081,124,463,-675,-1366,-1263,-2225,-2791,-1262
"05121","South","West South Central",8,25,-110,-185,-19,-85,45,222,341,7
"05123","South","West South Central",-121,-272,-105,-525,-501,-524,-389,-414,-504,-506
"05125","South","West South Central",459,1498,1453,1506,1241,1246,992,1731,1415,1188
"05127","South","West South Central",38,-22,-268,-82,-244,-149,-211,68,-46,-53
"05129","South","West South Central",6,-79,-28,14,-15,-45,165,4,27,-9
"05131","South","West South Central",-98,706,56,-763,-873,245,-372,-98,-640,-245
"05133","South","West South Central",41,-37,-156,61,-85,-221,-402,57,-147,-152
"05135","South","West South Central",-8,122,-145,88,-134,100,280,234,223,201
"05137","South","West South Central",25,151,86,-68,10,49,163,80,-9,107
"05139","South","West South Central",-98,-114,-606,-226,-423,-73,-248,-442,-228,-387
"05141","South","West South Central",13,-93,-14,-81,-8,-33,-52,-8,184,20
"05143","South","West South Central",495,2143,1802,2418,2117,2848,2354,2717,2229,966
"05145","South","West South Central",159,592,402,-304,-239,224,-102,-120,-526,333
"05147","South","West South Central",-7,-47,-104,-21,-141,-97,-73,-9,-93,-112
"05149","South","West South Central",-30,-286,-147,-36,-67,-265,-15,4,-52,-135
"06001","West","Pacific",95,7814,13106,15902,17834,16878,6554,-326,-1572,-3086
"06003","West","Pacific",-13,-65,17,18,-46,3,-24,67,-22,36
"06005","West","Pacific",-216,-166,-296,-326,245,436,541,1234,969,468
"06007","West","Pacific",-142,-231,763,773,1551,989,1542,2514,1783,-11146
"06009","West","Pacific",-36,-187,-246,35,124,401,502,481,107,338
"06011","West","Pacific",-28,-275,-198,-227,-246,-78,111,-67,-273,-23
"06013","West","Pacific",2059,7846,7290,10860,10530,10595,8229,3889,960,-581
"06015","West","Pacific",-43,-159,-303,-442,-703,10,196,11,383,68
"06017","West","Pacific",10,-519,-538,770,1433,1423,1376,2686,2035,2185
"06019","West","Pacific",-766,-2946,-4027,-2693,-335,-37,-1327,742,-514,131
"06021","West","Pacific",-75,-178,-435,-219,-112,-205,-26,-41,-61,306
"06023","West","Pacific",275,-125,-821,-399,-18,467,1036,132,-246,-642
"06025","West","Pacific",-330,-1084,-1291,-2255,-609,-1308,-750,-483,-1774,-1967
"06027","West","Pacific",-35,-112,-62,-9,-96,-190,-186,2,66,75
"06029","West","Pacific",-766,-2023,-3406,-302,-1157,-1242,-3104,-1011,-248,-210
"06031","West","Pacific",-1053,-2339,-2534,-2378,-2397,-971,-2187,-1188,275,123
"06033","West","Pacific",77,-426,-161,-57,311,353,-229,373,302,189
"06035","West","Pacific",-54,-692,-678,-1621,-566,-488,-577,118,-397,-126
"06037","West","Pacific",-15150,-21282,-10920,-12635,-23100,-22168,-40235,-59264,-77383,-79758
"06039","West","Pacific",-92,-741,-1520,-1421,852,-1128,-826,421,354,-603
"06041","West","Pacific",384,1922,256,1927,1433,241,-721,-1097,-282,-984
"06043","West","Pacific",21,-100,-283,-1,-66,-49,-129,28,41,-170
"06045","West","Pacific",-181,-642,-344,-438,-19,-274,45,128,-273,-720
"06047","West","Pacific",290,-262,-1166,-1434,-167,-481,-1044,1021,896,1237
"06049","West","Pacific",3,-185,-109,-178,-39,16,-71,-65,-58,70
"06051","West","Pacific",33,49,-193,-357,-36,-169,114,8,-47,-56
"06053","West","Pacific",175,-446,-2,-2195,-2337,-1884,-295,-2908,-3747,-2940
"06055","West","Pacific",169,594,470,883,533,230,-220,-990,-1140,-998
"06057","West","Pacific",32,93,-370,27,739,311,399,729,370,462
"06059","West","Pacific",1530,13614,9501,8550,2555,3415,-2481,-8575,-14032,-15180
"06061","West","Pacific",1236,5228,3019,4261,3059,3083,5579,5727,6954,5766
"06063","West","Pacific",-47,-140,-300,-366,-200,-105,296,14,135,123
"06065","West","Pacific",7508,15940,11819,10909,14268,15050,19904,21084,19238,13473
"06067","West","Pacific",245,2408,2367,3759,8844,10202,9088,8530,4638,6498
"06069","West","Pacific",92,-31,193,230,180,-25,595,545,874,888
"06071","West","Pacific",1374,797,-5255,-8635,-1016,-1621,-383,2908,1620,-752
"06073","West","Pacific",2129,9002,13810,12867,15166,8513,3061,-5489,-5240,-12998
"06075","West","Pacific",-488,6968,9739,7285,7612,8740,5188,3320,-16,-1596
"06077","West","Pacific",435,1458,232,-2644,4797,6134,5819,5931,5106,5529
