"fips","region","division","internationalmig2010","internationalmig2011","internationalmig2012","internationalmig2013","internationalmig2014","internationalmig2015","internationalmig2016","internationalmig2017","internationalmig2018","internationalmig2019"
"08113","West","Mountain",7,35,15,9,26,35,30,29,41,41
"08115","West","Mountain",0,3,1,1,2,0,-1,-1,-1,-1
"08117","West","Mountain",32,178,130,54,103,116,110,90,115,101
"08119","West","Mountain",-2,-11,-8,-13,-15,-3,-2,-4,-3,-3
"08121","West","Mountain",0,4,1,1,1,-1,-1,-1,-1,-1
"08123","West","Mountain",27,381,157,84,255,344,214,265,394,363
"08125","West","Mountain",2,58,7,23,25,13,11,32,46,47
"09001","Northeast","New England",797,4608,5465,3711,6057,5138,4473,4394,5483,4737
"09003","Northeast","New England",682,3721,4470,3187,5330,5041,4533,4614,6070,3454
"09005","Northeast","New England",25,118,163,185,308,345,271,269,329,263
"09007","Northeast","New England",63,300,304,204,346,308,264,259,327,237
"09009","Northeast","New England",542,2817,3696,2673,4449,3975,3552,3623,4776,2740
"09011","Northeast","New England",240,812,1144,605,796,774,518,419,477,326
"09013","Northeast","New England",42,278,356,268,512,508,407,398,463,449
"09015","Northeast","New England",29,239,292,191,308,386,377,392,573,117
"10001","South","South Atlantic",67,216,332,309,252,395,281,159,54,62
"10003","South","South Atlantic",225,1090,714,1791,1367,1675,1304,1233,454,69
"10005","South","South Atlantic",65,221,166,257,124,168,123,136,-24,-58
"11001","South","South Atlantic",696,2414,3384,4737,5205,5024,3451,3541,2749,2604
"12001","South","South Atlantic",273,1219,942,995,1157,1272,1396,1426,1040,798
"12003","South","South Atlantic",-1,8,11,6,3,6,8,9,5,5
"12005","South","South Atlantic",76,180,429,274,406,638,634,587,437,277
"12007","South","South Atlantic",0,9,13,-1,0,8,7,10,6,2
"12009","South","South Atlantic",227,871,1020,950,1130,1146,1298,1332,1035,429
"12011","South","South Atlantic",3128,13709,12313,13104,14205,16898,19936,20560,15473,13055
"12013","South","South Atlantic",1,6,5,5,5,2,4,3,0,0
"12015","South","South Atlantic",43,186,211,231,239,270,364,369,208,160
"12017","South","South Atlantic",15,52,53,48,38,36,45,48,14,-18
"12019","South","South Atlantic",112,411,407,268,291,434,441,419,305,170
"12021","South","South Atlantic",477,1855,1654,1868,1780,2447,3049,3005,2126,1906
"12023","South","South Atlantic",4,29,18,21,4,43,54,56,64,4
"12027","South","South Atlantic",14,174,114,77,89,223,264,219,156,154
"12029","South","South Atlantic",2,6,2,0,-3,-3,-3,-3,-3,-3
"12031","South","South Atlantic",634,2554,3139,2836,3020,3743,4109,3952,2823,2008
"12033","South","South Atlantic",225,351,1269,726,662,859,631,430,47,204
"12035","South","South Atlantic",40,206,156,176,92,156,173,178,152,21
