"fips","region","division","domesticmig2010","domesticmig2011","domesticmig2012","domesticmig2013","domesticmig2014","domesticmig2015","domesticmig2016","domesticmig2017","domesticmig2018","domesticmig2019"
"06019","West","Pacific",-862,-3520,-4649,-3718,-1719,-1937,-3211,-438,-1009,-348
"06021","West","Pacific",-72,-158,-412,-203,-89,-199,-26,-21,-28,337
"06023","West","Pacific",256,-185,-869,-434,-20,437,1026,137,-231,-625
"06025","West","Pacific",-266,-991,-1249,-2472,-951,-1879,-1531,-767,-1808,-2000
"06027","West","Pacific",-33,-113,-68,-20,-104,-209,-211,-21,48,57
"06029","West","Pacific",-909,-2631,-4189,-1435,-2226,-2531,-4426,-1634,-288,-291
"06031","West","Pacific",-1108,-2315,-2798,-2509,-2530,-1194,-2327,-1183,423,197
"06033","West","Pacific",80,-391,-132,-37,328,352,-234,389,331,215
"06035","West","Pacific",-56,-720,-694,-1629,-582,-500,-587,109,-404,-133
"06037","West","Pacific",-21753,-54822,-38825,-45765,-59748,-65098,-79139,-91152,-98218,-100808
"06039","West","Pacific",-57,-674,-1461,-1491,884,-1158,-894,492,502,-464
"06041","West","Pacific",225,1246,-368,1304,844,-497,-1382,-1696,-709,-1416
"06043","West","Pacific",20,-100,-291,-19,-78,-63,-143,17,32,-179
"06045","West","Pacific",-193,-652,-309,-443,-19,-272,39,157,-213,-660
"06047","West","Pacific",269,-338,-1127,-1508,-286,-705,-1317,1012,1046,1381
"06049","West","Pacific",3,-191,-115,-187,-51,6,-80,-72,-63,65
"06051","West","Pacific",30,45,-216,-389,-77,-279,19,-75,-109,-120
"06053","West","Pacific",96,-509,-360,-2605,-2924,-2843,-1264,-3179,-3544,-2850
"06055","West","Pacific",128,392,271,709,370,53,-380,-1064,-1120,-985
"06057","West","Pacific",25,92,-373,23,710,288,373,718,370,465
"06059","West","Pacific",152,5419,2111,-1099,-8639,-9571,-14065,-18043,-20019,-21358
"06061","West","Pacific",1109,4906,2792,3969,2653,2656,5243,5498,6905,5687
"06063","West","Pacific",-49,-148,-308,-364,-199,-108,293,13,138,126
"06065","West","Pacific",7502,14856,10894,9159,12019,11834,16994,19490,18996,13170
"06067","West","Pacific",-408,-1276,-934,-468,4043,4479,3976,4155,1642,3456
"06069","West","Pacific",97,-2,223,270,209,-35,575,563,917,926
"06071","West","Pacific",1174,21,-6837,-10220,-2877,-4494,-2762,1676,1584,-914
"06073","West","Pacific",-253,99,-334,-817,987,-8380,-11285,-15748,-10815,-19731
"06075","West","Pacific",-1651,782,3632,671,765,1356,-1356,-2674,-4513,-6094
"06077","West","Pacific",328,677,-392,-3705,3616,4286,3974,4643,4446,4842
"06079","West","Pacific",63,839,2644,1038,1937,1364,1260,536,873,-245
"06081","West","Pacific",-594,550,2907,780,-684,-2252,-6752,-7632,-7298,-8953
"06083","West","Pacific",-634,-2369,671,1171,535,-1168,-1833,-2275,-2157,-1924
"06085","West","Pacific",-2007,-2964,-1564,-2156,-7612,-11266,-21024,-26261,-24573,-28421
"06087","West","Pacific",404,81,13,980,605,1000,-565,-697,-1858,-1339
"06089","West","Pacific",-22,129,152,308,300,-650,132,986,483,514
"06091","West","Pacific",-5,-104,-24,-20,-32,27,-31,50,-8,20
"06093","West","Pacific",50,-257,-525,-432,-152,50,264,416,35,133
"06095","West","Pacific",-83,-673,127,916,2260,1405,2691,2300,617,277
"06097","West","Pacific",393,1139,1321,2555,2864,686,130,-1061,-4202,-4534
"06099","West","Pacific",-416,-2280,-1284,-1195,505,881,1717,1651,372,-679
"06101","West","Pacific",-199,-1160,-1199,-399,-563,-293,-311,-194,-372,95
"06103","West","Pacific",94,-362,-216,-355,-221,179,124,285,94,1014
"06105","West","Pacific",-7,-20,-160,-21,-249,21,-189,-67,-132,-239
"06107","West","Pacific",-301,-1118,-1856,-2137,-2183,-2826,-2596,-1078,-1241,-1960
"06109","West","Pacific",-206,-236,-489,-127,28,-96,346,443,568,232
"06111","West","Pacific",173,-1395,-2621,-1528,-2034,-2574,-4076,-2724,-3998,-5193
"06113","West","Pacific",-302,-1150,687,-560,-325,1054,1106,748,-70,-1312
"06115","West","Pacific",-23,-604,-546,-440,-260,-217,247,1084,523,542
"08001","West","Mountain",703,2383,3442,4359,4867,4983,2311,1008,2686,1283
"08003","West","Mountain",11,85,-117,35,-95,9,98,11,50,-93
"08005","West","Mountain",874,4128,3625,5273,3721,4509,1378,-409,1186,-1165
"08007","West","Mountain",-35,-90,63,59,-3,134,401,438,395,255
"08009","West","Mountain",15,6,-40,-60,-59,-8,3,24,32,3
"08011","West","Mountain",12,-76,-618,-75,74,80,-36,28,4,-215
"08013","West","Mountain",-162,2416,2401,2715,788,3499,1288,-423,491,-42
"08014","West","Mountain",251,779,1002,733,1153,2623,1207,1329,667,791
"08015","West","Mountain",-7,211,120,269,120,205,540,591,404,351
"08017","West","Mountain",-4,13,-2,-4,-51,-35,12,-3,3,-38
"08019","West","Mountain",22,-111,-39,-26,59,97,74,177,-8,56
"08021","West","Mountain",19,-51,-87,-58,-26,-192,-29,72,27,10
"08023","West","Mountain",8,93,-35,-55,30,12,131,56,45,63
"08025","West","Mountain",25,-9,-444,-126,268,7,-344,545,82,109
"08027","West","Mountain",25,-45,3,58,90,102,181,283,86,141
"08029","West","Mountain",-73,-478,49,-130,-312,66,512,283,507,385
"08031","West","Mountain",1526,8948,7184,7061,7794,10815,5934,2216,4535,4268
"08033","West","Mountain",0,-25,-43,24,-45,0,76,-2,21,-7
"08035","West","Mountain",737,2492,3135,4607,5209,4556,3476,4937,4565,5604
"08037","West","Mountain",-343,-904,-381,-55,-127,-81,63,-189,-570,-364
"08039","West","Mountain",32,-41,59,235,406,481,403,526,455,345
"08041","West","Mountain",2733,3811,753,2536,1483,3556,8052,6446,7007,3099
"08043","West","Mountain",73,599,-285,-518,-13,310,855,782,577,70
"08045","West","Mountain",-496,-730,169,-343,-259,121,626,-310,171,-94
"08047","West","Mountain",9,-61,-11,73,203,51,96,91,76,117
"08049","West","Mountain",-80,-296,-415,32,179,114,376,109,102,170
"08051","West","Mountain",-51,-136,42,122,107,265,236,371,240,226
"08053","West","Mountain",0,-17,-28,-1,-36,-9,25,4,22,13
"08055","West","Mountain",-32,-113,83,-54,-13,59,241,121,294,54
"08057","West","Mountain",-8,-33,-26,15,41,-35,6,16,19,-12
"08059","West","Mountain",98,2472,3827,3411,4395,3934,4369,2122,2164,1659
"08061","West","Mountain",4,30,-8,-14,-11,13,-39,25,16,20
"08063","West","Mountain",-5,-132,-132,155,-257,153,-619,-509,-7,-75
"08065","West","Mountain",-55,18,-114,-22,24,85,117,125,29,220
"08067","West","Mountain",-2,144,372,723,252,597,449,104,610,-169
"08069","West","Mountain",378,2855,3482,3479,5701,7388,3914,3704,5095,4638
"08071","West","Mountain",-83,-339,-51,-579,-327,29,69,160,316,24
"08073","West","Mountain",6,-72,23,-36,61,31,11,-28,65,73
"08075","West","Mountain",16,-186,-256,-260,245,-24,-19,-118,-88,115
"08077","West","Mountain",-667,252,-319,-558,-361,621,1472,1385,1629,1150
"08079","West","Mountain",-5,5,7,12,-31,41,10,6,18,-6
"08081","West","Mountain",-16,-516,-316,-152,-280,-92,122,-139,9,-8
"08083","West","Mountain",-11,-133,-14,51,-63,145,272,164,46,66
"08085","West","Mountain",-156,-371,-251,-159,-33,3,602,614,440,543
"08087","West","Mountain",-38,-141,-431,-281,-398,-174,-336,-157,70,-70
"08089","West","Mountain",12,-55,-214,-142,-61,-100,121,75,12,-49
"08091","West","Mountain",15,-42,64,46,30,37,178,9,18,141
"08093","West","Mountain",51,-252,-48,105,179,317,606,532,622,307
"08095","West","Mountain",17,-100,-3,-31,-6,-78,-71,-13,-28,-28
"08097","West","Mountain",-26,-167,0,5,90,47,-156,-192,-169,-380
"08099","West","Mountain",-39,-55,-150,-167,-321,-177,-36,11,9,34
"08101","West","Mountain",235,492,215,68,31,1435,1603,1442,1091,968
"08103","West","Mountain",-68,43,-24,-98,-111,-155,-65,-113,-64,-37
"08105","West","Mountain",14,-138,-47,-203,-201,-148,-8,-37,-45,-17
"08107","West","Mountain",-122,-351,-166,148,280,116,153,337,198,14
"08109","West","Mountain",8,-2,99,-139,-60,31,125,193,175,-34
"08111","West","Mountain",9,-18,2,2,17,-24,-2,22,47,-37
"08113","West","Mountain",-19,37,37,-11,48,19,110,-64,58,-79
"08115","West","Mountain",-3,9,22,-38,0,70,34,-71,-30,-8
"08117","West","Mountain",-16,-465,-125,173,274,395,169,-40,-338,-105
"08119","West","Mountain",84,-181,76,-112,77,-53,652,580,451,300
"08121","West","Mountain",3,-50,-54,49,-8,56,60,83,-32,21
"08123","West","Mountain",730,1920,2744,3621,4256,5926,7070,7423,6083,6778
"08125","West","Mountain",-22,-9,-84,-38,-37,-204,-45,-151,-102,-17
"09001","Northeast","New England",490,113,-2171,-2215,-5358,-7854,-8417,-8845,-7265,-8080
"09003","Northeast","New England",-38,-3904,-5393,-4743,-7286,-7758,-8254,-6739,-7574,-5188
"09005","Northeast","New England",-176,-794,-1302,-512,-1412,-1224,-1244,-972,-453,-562
"09007","Northeast","New England",-113,192,-884,-361,-770,-1221,-499,-255,-87,-359
"09009","Northeast","New England",-65,-3996,-4461,-5784,-5714,-7690,-6909,-4725,-6194,-5598
"09011","Northeast","New England",-416,-2318,-567,-2039,-2672,-2836,-1948,-1507,-1684,-1385
"09013","Northeast","New England",382,-636,-1675,-591,-707,-632,-1144,-602,-812,-503
"09015","Northeast","New England",88,-681,-908,-786,-1167,-748,-804,-79,93,-384
"10001","South","South Atlantic",288,1098,1040,747,1371,594,444,1237,1502,1812
"10003","South","South Atlantic",-590,-347,-114,-350,-1003,-986,-1724,-1985,-99,-201
"10005","South","South Atlantic",583,2103,2276,2901,3862,4444,4659,5178,5448,5350
"11001","South","South Atlantic",1473,7537,6711,6051,1778,3201,2057,973,-318,-2203
"12001","South","South Atlantic",-342,-58,-555,-1078,812,1283,2482,93,753,-1302
"12003","South","South Atlantic",-57,-157,-123,-116,-68,151,409,250,61,802
"12005","South","South Atlantic",168,-330,1059,2009,2816,2108,1015,199,868,-12080
"12007","South","South Atlantic",21,-158,-1529,-281,-249,188,-17,432,649,507
"12009","South","South Atlantic",603,697,2663,3886,5410,10752,11594,11740,8971,8509
"12011","South","South Atlantic",386,13754,8061,2809,2463,105,83,-5677,-10311,-12153
"12013","South","South Atlantic",-4,93,-69,-70,-125,-15,-30,131,168,-409
"12015","South","South Atlantic",210,1095,3729,2974,4399,5508,6418,5037,4842,5674
"12017","South","South Atlantic",285,-224,623,1025,1345,2945,3925,4022,3860,3619
"12019","South","South Atlantic",291,-175,571,1022,2075,2896,3874,4171,3075,2875
"12021","South","South Atlantic",573,2772,2730,4620,6044,6218,6228,4403,3816,5485
"12023","South","South Atlantic",47,-287,484,-501,338,298,956,631,714,1065
"12027","South","South Atlantic",15,-377,-55,-233,258,45,269,759,-34,450
"12029","South","South Atlantic",-8,51,-203,-39,39,386,179,227,149,232
"12031","South","South Atlantic",-436,-1350,-354,-1617,2728,5126,6046,3025,3745,2933
"12033","South","South Atlantic",-24,208,1796,1910,-88,18,942,629,1587,2726
"12035","South","South Atlantic",323,1417,1039,1642,2322,2747,3274,2906,2491,3537
"12037","South","South Atlantic",-8,-32,140,-71,143,59,150,-65,-30,458
"12039","South","South Atlantic",-52,-643,-1011,-598,-85,-192,-125,-228,-183,-303
"12041","South","South Atlantic",28,-26,-107,34,51,380,213,273,403,318
"12043","South","South Atlantic",-40,-69,-172,35,287,192,319,193,131,173
"12045","South","South Atlantic",-50,-33,36,193,145,-6,192,98,98,-2461
