"GeoFips","GeoName","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"06011","Colusa, CA",589210,810047,739405,761287,858014,938356,1260871,1310927,1203159
"06013","Contra Costa, CA",43864476,46131347,50591063,60396509,64801182,65614473,78534982,62030122,60443614
"06015","Del Norte, CA",484094,519521,573267,608476,770107,821131,837563,721046,733989
"06017","El Dorado, CA",4455384,4650893,5045668,5342671,5967347,6022669,5938517,5738412,5833060
"06019","Fresno, CA",23585256,25983514,27958827,29586707,32694534,33437189,33025734,33118655,34079616
"06021","Glenn, CA",621826,672339,735787,778233,792734,1028482,1090007,1057419,1025675
"06023","Humboldt, CA",3584804,3821791,4001076,4140405,4599942,4625960,4902031,4731439,5029352
"06025","Imperial, CA",4533095,4436136,4546757,4969461,5597342,5885733,6810035,6303827,6431685
"06027","Inyo, CA",789942,790813,838869,857149,961100,972252,983733,1005223,1016680
"06029","Kern, CA",21876624,23973670,27832196,32407587,38755436,44427362,48058579,41372904,43360880
"06031","Kings, CA",3386118,3895920,4323489,4537702,4506136,5441194,5031663,4710893,4871435
"06033","Lake, CA",1283276,1323748,1388484,1434443,1768175,1838135,1777274,1648713,1662678
"06035","Lassen, CA",708977,759058,792554,844304,968212,1035426,1134148,1040354,1170291
"06037","Los Angeles, CA",408655778,432678180,459726567,486053719,519410971,538325814,555858096,535265666,552228768
"06039","Madera, CA",2806417,2981649,3618494,3873024,4285379,4560854,4509224,4015532,4693311
"06041","Marin, CA",14118911,14795273,14605382,14970915,15571585,15601424,15751799,15521364,15856629
"06043","Mariposa, CA",406253,425061,466605,514103,598603,612218,550133,559981,554067
"06045","Mendocino, CA",2461701,2532331,2530579,2643608,2976526,3035533,3123365,3146315,3272507
"06047","Merced, CA",4719277,5320705,6147188,6371404,6680896,7909623,7155570,6795457,6985034
"06049","Modoc, CA",241832,238355,240745,277344,308836,326937,371297,362253,353591
"06051","Mono, CA",726228,796051,802814,925077,893830,863453,884519,890279,934245
"06053","Monterey, CA",16545212,17328431,16510396,17096950,19232288,19722919,19661543,20360049,20535152
"06055","Napa, CA",6015057,6175683,6210363,6698645,7038158,7380009,7479625,7577558,7464055
"06057","Nevada, CA",2701111,2800931,2897734,3131024,3430817,3554684,3555445,3534662,3717439
"06059","Orange, CA",140046532,151905145,163455086,177013090,181942211,184121046,180218699,172151736,178503694
"06061","Placer, CA",11003852,12162055,13271831,14535185,15073500,14994039,14798880,14734451,14924105
"06063","Plumas, CA",787308,887361,903455,912654,1092815,986304,990218,977132,1023842
"06065","Riverside, CA",39600115,43612760,48648593,53789330,59354056,61541712,59844401,57408251,58544501
"06067","Sacramento, CA",51217468,55321496,58847973,64005679,67808880,70216561,71015313,69270910,67743335
"06069","San Benito, CA",1224962,1376348,1459638,1491527,1723436,1757326,1642627,1675612,1685098
"06071","San Bernardino, CA",44700600,48845708,54101763,59216686,65036943,68036940,67509166,64457440,64905555
"06073","San Diego, CA",124847611,134395268,145709061,157310766,164992812,171522078,171073628,166040899,168687239
"06075","San Francisco, CA",70285247,71184439,73106454,79775709,83207119,88140089,89084528,89357301,93101331
"06077","San Joaquin, CA",16942946,18244840,19846029,21435992,22440548,23075278,22940378,22453527,22259875
"06079","San Luis Obispo, CA",9319117,9877823,10299216,11085243,12143554,12551005,11892394,12021681,12640735
"06081","San Mateo, CA",43655167,44938009,47100517,49256766,53198850,55176239,55965376,57707148,58863334
"06083","Santa Barbara, CA",15133592,16175025,17335187,18586550,19786604,20806485,21158969,21363180,21518667
"06085","Santa Clara, CA",115161732,119677169,123980036,132036317,141545125,153673109,159546359,157228915,169563856
"06087","Santa Cruz, CA",8770966,9068619,9262276,9473534,10150062,10494137,10546581,10827706,11707316
"06089","Shasta, CA",5381362,5724307,5853986,5970178,6743290,6775732,6493933,6377790,6590135
"06091","Sierra, CA",78638,80350,79308,84658,99354,102006,95043,90251,92362
"06093","Siskiyou, CA",1260929,1242518,1297896,1317460,1502559,1456860,1542088,1374000,1352386
"06095","Solano, CA",11048863,12478261,13111083,14261517,15029994,16036976,17581225,16675309,17074942
"06097","Sonoma, CA",17791173,18025324,18429170,19279282,20656470,21437191,21297309,20998831,21457445
"06099","Stanislaus, CA",12741484,13578206,14896162,15675557,16855869,17355651,17184933,17250959,17414561
"06101","Sutter, CA",2340087,2423151,2563210,2554962,2890292,3121030,3436393,3509358,3359885
"06103","Tehama, CA",1262421,1328292,1472138,1580007,1661048,1716374,1624906,1583284,1641462
"06105","Trinity, CA",272015,298385,303604,296790,368676,366502,352189,326753,353862
"06107","Tulare, CA",8241115,8989033,10425321,11472342,11619490,13550392,13031651,11978138,13233206
"06109","Tuolumne, CA",1709972,1787159,1872866,1945339,2223491,2182882,2091584,2174798,2252623
"06111","Ventura, CA",29503626,31889943,35999012,38729737,44692156,48891127,46175628,46711448,46662010
"06113","Yolo, CA",7367542,7862331,8550249,8908514,9491501,10347027,10629625,10212076,10067911
"06115","Yuba, CA",1685388,1860522,1969130,2060327,2325887,2327977,2453650,2523415,2547847
"08001","Adams, CO*",11159569,11710149,12594569,13486444,14455535,15160293,17240482,16824418,17106305
